"study_id","p","n","q"
1,1.41e-07,6,1
2,0.0001439379,6,1
3,5.95e-09,6,1
4,2.95e-05,6,1
5,6.72e-08,6,1
6,0.01991732,6,1
7,0.03834298,6,1
8,0.02393541,6,1
9,0.01260772,6,1
10,0.00221037,6,1
11,0.01593591,6,1
12,0.004981447,6,1
13,3.8e-05,6,1
14,6.61e-06,4,1
15,6.36e-06,4,1
16,0.4291293,4,1
17,0.02348687,4,1
18,2.22044604925031e-16,18,1
19,2.22044604925031e-16,18,1
20,2.22044604925031e-16,18,1
21,2.22044604925031e-16,18,1
22,2.22044604925031e-16,18,1
23,2.22044604925031e-16,18,1
24,2.22044604925031e-16,18,1
25,2.22044604925031e-16,18,1
26,2.22044604925031e-16,18,1
27,2.22044604925031e-16,18,1
28,2.22044604925031e-16,18,1
29,2.22044604925031e-16,18,1
30,2.22044604925031e-16,18,1
31,2.22044604925031e-16,18,1
32,2.22044604925031e-16,18,1
33,0.6449664,18,1
34,0.6449664,18,1
35,0.6449664,18,1
36,6.93e-16,7,1
37,3.42e-07,8,1
38,0.0154218,6,1
39,0.0005879201,20,1
40,0.9525123,30,2
41,2.1e-05,20,1
42,4.72e-05,5,1
43,3.71e-08,9,1
44,4.86e-10,14,1
45,0.1766213,2,1
46,0.1815468,2,1
47,4e-05,19,1
48,0.0001094824,19,1
49,0.6415434,34,2
50,0.001023486,18,1
51,0.1460453,21,1
52,0.03519667,27,1
53,0.001554002,13,1
54,0.01165501,18,1
55,0.0002038955,25,1
56,0.04073944,12,1
57,0.0003985327,12,1
58,0.31699,12,1
59,0.002190081,8,1
60,0.2351748,8,1
61,0.0007419815,8,1
62,0.004015118,8,1
63,0.0003724277,8,1
64,0.008718023,8,1
65,0.01214254,8,1
66,0.0002331278,8,1
67,0.0006512861,8,1
68,0.0005563789,8,1
69,0.0007993519,8,1
70,0.0002357769,8,1
71,9.51e-05,8,1
72,0.0001234589,8,1
73,0.0001647319,8,1
74,0.005636838,8,1
75,0.2050917,8,1
76,0.007176665,8,1
77,3.16e-05,8,1
78,0.001728131,6,1
79,0.0005738803,6,1
80,0.0005544865,6,1
81,0.004070677,6,1
82,0.0220685,6,1
83,0.005551034,6,1
84,0.01632962,6,1
85,0.01822076,6,1
86,0.002565041,6,1
87,0.0294672,12,1
88,0.3586755,6,1
89,0.06328464,3,1
90,0.06715723,3,1
91,0.0004927322,3,1
92,0.1531738,3,1
93,2.91e-05,6,1
94,0.01734749,10,1
95,0.0050129,13,1
96,0.0050129,13,1
97,0.00469753,10,1
98,0.5402393,20,1
99,0.001052166,14,1
100,0.002276347,14,1
101,0.007936508,10,1
102,0.007936508,10,1
103,0.03981128,20,1
104,0.01042671,20,1
105,0.0167846,20,1
106,0.005007683,20,1
107,0.01467993,12,3
108,0.0124397,12,3
109,0.6172321,12,3
110,0.09492094,12,3
111,0.01263466,6,1
112,0.002873608,6,1
113,0.005528176,12,1
114,0.001119253,12,1
115,0.006798659,12,1
116,0.01782211,12,1
117,0.009242931,12,1
118,0.002146524,6,1
119,0.002146524,6,1
120,2.22044604925031e-16,755,1
121,2.22044604925031e-16,755,1
122,2.22044604925031e-16,755,1
123,2.22044604925031e-16,755,1
124,2.22044604925031e-16,755,1
125,2.22044604925031e-16,755,1
126,0.04570119,514,1
127,0.04570119,514,1
128,0.001439705,514,1
129,0.001439705,514,1
130,4.11e-09,514,1
131,4.11e-09,514,1
132,2.52e-06,99,1
